1,2,3,0,4,5,6,7,8,9,10
Sources,Variables,Units,,1948.0,1949.0,1950.0,1951.0,1952.0,1953.0,1954.0
,H;=h;xL;,thousand weekly  hours,,1379560.0,1306464.6,1367090.2,1445377.5,1462055.7,1492682.4,1418391.6
"CEA,  B-44",,weekly hours,,40.0,39.4,39.8,39.9,39.9,39.6,39.1
"C-2""",KK,thousands,,34489.0,33159.0,34349.0,36225.0,36643.0,37694.0,36276.0
,"Hp = H;-(Hp),-(Hp)fire",thousand weekly  hours,,974250.0,901024.5,954038.7,1016042.6,1025118.3,1051364.0,976936.4
,"(Hp),=(hp)tx(Lp),",thousand  weekly  hours,,348611.6,348097.5,354051.0,368185.5,373320.0,375645.0,373512.0
BLS,"(hp),",weekly  hours,,40.4,40.5,40.5,40.5,40.0,39.5,39.5
BLS,"(Lp),",thousands,,8629.0,8595.0,8742.0,9091.0,9333.0,9510.0,9456.0
,"(H p) f t re  = 
( h p ) f i r e x ( L p ) f i re",thousand weekly  hours,,56698.4,57342.6,59000.5,61149.4,63617.4,65673.4,67943.2
"O 2,   C-3",(h p) f t re,weekly  hours,,37.9,37.8,37.7,37.7,37.8,37.7,37.6
"C-2, C-3""",(L p) f l re,thousands,10.0,1496.0,1517.0,1565.0,1622.0,1683.0,1742.0,1807.0
,"Lp =  L;-(Lp),-(L p) f l re",thousands,11.0,24364.0,23047.0,24042.0,25512.0,25627.0,26442.0,25013.0
,Hp =  (H p/L' p)x52,"hours /prod,  worker/year",12.0,2079.34,2032.94,2063.47,2070.96,2080.08,2067.58,2030.97
,h u = h ( L / L u ) - h p ( L p / L u ),hours /unpr.  worker/year,13.0,2042.53,2057.29,2059.45,2059.37,2045.62,2039.86,2050.29
,LU =  L - L P,thousands,17.0,25307.09,25717.64,26373.93,29242.64,30688.77,31204.24,31093.69
,h u / h p,,18.0,0.98,1.01,1.0,0.99,0.98,0.99,1.01
,ecu/ecp,,21.0,1.13,1.14,1.12,1.07,1.07,1.08,1.11
,(1+e u)/(l  + e p)=(h u/h p)/(ec u/ec p),,22.0,0.87,0.89,0.89,0.93,0.92,0.92,0.91
,eu =  x (1 + SVV)  -1,,24.0,1.35,1.44,1.47,1.57,1.53,1.51,1.6
,e u/e p,,25.0,0.8,0.83,0.83,0.89,0.88,0.87,0.86
