0,1,2,3,4,5,6,7,8,9
"Wrea, = W/pca",,billions of  1982,1821.65,1901.75,2002.29,2059.79,2047.64,2068.57,2071.62
Val = VVpc,,billions of  1982,734.23,773.34,822.91,850.11,815.85,816.44,786.53
(Wu)real =  Wu/pc,,billions of  1982,1087.43,1128.42,1179.38,1209.69,1231.79,1252.13,1285.09
pc,,,62.6,66.7,71.6,78.2,86.6,94.6,100.0
,",",/prod.  worker/year,13254.44,14409.09,15666.28,17223.18,18659.88,20466.34,21725.6
ec' = W u/L u,,/unpr.  worker/year,13486.78,14386.11,15373.08,16617.4,18432.98,20129.64,21860.07
L u/L p,,,1.46,1.46,1.46,1.47,1.53,1.56,1.62
ecu/ecp,,,1.02,1.0,0.98,0.96,0.99,0.98,1.01
Lp/L,,,0.41,0.41,0.41,0.4,0.4,0.39,0.38
Variables,,Units,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0
,,billions of,2199.81,2404.6,2565.7,2719.89,2913.09,3152.11,3337.04
W v,,billions of,839.73,928.68,967.99,998.55,1060.9,1146.22,1206.4
